"Jahr","Woche","GW_VPR","GW_SR","GNS","SC2_VL_WW"
2021,38,0,NA,54.79369354248047,NA
2021,39,311.80877043071547,NA,58.32124328613281,NA
2021,40,40.38628325591216,NA,61.4829216003418,NA
2021,41,127.51680935407035,NA,70.886505126953125,NA
2021,42,195.8689013624284,NA,108.50081634521484,NA
2021,43,328.1504655901018,NA,150.30125427246094,NA
2021,44,221.94691138174022,NA,199.54751586914063,NA
2021,45,288.89166596511313,NA,293.30718994140625,NA
2021,46,404.56768060378084,NA,379.1308898925781,NA
2021,47,362.3332003784179,NA,434.5168762207031,NA
2021,48,592.9685257444991,NA,415.673828125,NA
2021,49,98.94951787725225,NA,355.7772521972656,NA
2021,50,245.47426235465116,NA,284.2749938964844,NA
2021,51,403.6778655108284,NA,205.166748046875,NA
2021,52,270.3502119695861,NA,241.1118621826172,NA
2022,1,284.031685230152,NA,398.79541015625,NA
2022,2,185.17005959535254,NA,525.31640625,NA
2022,3,670.2767272949219,NA,797.1214599609375,NA
2022,4,1172.4178563810651,NA,1106.2550048828125,NA
2022,5,876.9919396033654,NA,1318.468505859375,NA
2022,6,1267.8363210751356,NA,1370.5657958984375,NA
2022,7,1461.7203186035156,NA,1284.7269287109375,NA
2022,8,1184.2788745777027,NA,1197.7061767578125,NA
2022,9,844.5124579535591,NA,1282.6573486328125,NA
2022,10,1267.7642737926137,NA,1611.625244140625,NA
2022,11,1651.4495357714202,NA,1813.5501708984375,NA
2022,12,1435.6666155133926,NA,1816.7725830078125,NA
2022,13,1478.8177664620537,NA,1497.4830322265625,NA
2022,14,1032.4376220703125,NA,1146.21630859375,NA
2022,15,1591.8619857061476,NA,935.12939453125,NA
2022,16,1108.8202653131566,NA,902.92999267578125,NA
2022,17,656.9694674325851,NA,721.8624267578125,NA
2022,18,380.08266122000555,NA,563.35736083984375,NA
2022,19,882.5269832710597,NA,487.6482849121094,NA
2022,20,295.1044102718955,NA,353.7877502441406,NA
2022,21,250.5823073614211,NA,230.65345764160156,NA
2022,22,283.59125976562495,NA,310.9601135253906,139.183253623693
2022,23,739.0885739851226,NA,422.4873046875,207.7027225410505
2022,24,1098.3589094974207,NA,526.18212890625,220.3222414744501
2022,25,1255.1926907626066,NA,724.8253173828125,307.18933204712175
2022,26,1705.4070046164773,NA,783.46820068359375,321.3597817123171
2022,27,1745.4632105565333,1614.6455078125,790.36456298828125,330.1521195401805
2022,28,1214.626058959961,1576.2222900390625,850.21142578125,350.3985474086271
2022,29,1005.8136444091797,1426.3095703125,797.01788330078125,353.4029100562849
2022,30,916.5470259817023,971.65118408203125,639.45440673828125,255.4057642433931
2022,31,1120.422236830424,785.68292236328125,471.3456115722656,183.7365475107655
2022,32,1210.2817810058593,990.06341552734375,384.7266540527344,130.27155460132312
2022,33,479.038984818892,595.708251953125,335.0565185546875,107.4536482659383
2022,34,635.2476300920758,518.833251953125,285.8599853515625,100.1597304348951
2022,35,580.1369094122024,264.99774169921875,252.79763793945313,94.24835672667561
2022,36,538.7707604449728,576.48175048828125,255.65557861328125,99.97309714269666
2022,37,463.98402862121407,690.1829833984375,288.3465270996094,96.31791123036625
2022,38,1586.5574137369792,971.93780517578125,363.83056640625,157.090915120065
2022,39,1359.5246228204255,1347.48876953125,595.507080078125,263.14033158631935
2022,40,1089.6998757508582,2058.458740234375,784.06329345703125,188.2570680044314
2022,41,1279.4272300318667,1551.817138671875,854.29534912109375,305.3058688062493
2022,42,1239.8317565917969,1032.8775634765625,717.9248046875,286.8446306580711
2022,43,637.6618242597247,1024.5633544921875,488.4283447265625,231.1811400475705
2022,44,765.4069144509054,563.98822021484375,316.3874206542969,132.5034851939621
2022,45,366.83478188545155,416.4349365234375,260.588623046875,152.93142968040559
2022,46,618.389173719618,669.62884521484375,217.71681213378906,143.0973999800688
2022,47,563.533330743963,813.630126953125,220.10809326171875,157.3570340453514
2022,48,504.8885132115274,743.63323974609375,241.8643035888672,189.05898146086398
2022,49,355.37105662538323,899.9261474609375,264.83135986328125,255.2776371302673
2022,50,677.2781195746528,826.7325439453125,298.59918212890625,273.28874864055433
2022,51,1069.7987382157144,907.2376708984375,311.6614685058594,314.32769716235987
2022,52,1988.283220563616,785.90728759765625,204.3811492919922,343.3508906672237
2023,1,298.4628052750254,366.2134704589844,175.28404235839844,179.51774544974307
2023,2,243.84836728348688,327.01971435546875,117.6158447265625,99.8646328186577
2023,3,383.13919868469236,194.03726196289063,80.46956634521484,87.2374045166035
2023,4,766.6086791992187,619.608154296875,93.28748321533203,112.7596023380876
2023,5,263.152978515625,626.6656494140625,109.8897476196289,174.9838086794272
2023,6,1295.3011455140427,987.0782470703125,114.83522033691406,173.30193736231212
2023,7,861.6989271375868,1030.361572265625,131.15170288085938,222.8219785824449
2023,8,925.677974938473,1266.480224609375,152.7422332763672,256.195132672941
